[09:06:03] [main/INFO] (FabricLoader) Loading for game Minecraft 1.16.5
[09:06:03] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar
[09:06:03] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/Users/ozheng/.gradle/caches/fabric-loom/1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2/minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar to classpath.
[09:06:03] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-commands-v0/0.2.0+52d308363a/fabric-commands-v0-0.2.0+52d308363a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-registry-sync-v0/0.6.1+a4467d2a3a/fabric-registry-sync-v0-0.6.1+a4467d2a3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-game-rule-api-v1/1.0.3+a4467d2a3a/fabric-game-rule-api-v1-1.0.3+a4467d2a3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-networking-blockentity-v0/0.2.5+b50ffc7b3a/fabric-networking-blockentity-v0-0.2.5+b50ffc7b3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-blockrenderlayer-v1/1.1.4+c6a8ea893a/fabric-blockrenderlayer-v1-1.1.4+c6a8ea893a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-keybindings-v0/0.2.0+3fa9f7c53a/fabric-keybindings-v0-0.2.0+3fa9f7c53a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-mining-levels-v0/0.1.2+b764ce993a/fabric-mining-levels-v0-0.1.2+b764ce993a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-resource-loader-v0/0.3.1+facf3bbf3a/fabric-resource-loader-v0-0.3.1+facf3bbf3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-lifecycle-events-v1/1.2.0+74cc3b203a/fabric-lifecycle-events-v1-1.2.0+74cc3b203a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-api-v1/0.3.3+a4467d2a3a/fabric-renderer-api-v1-0.3.3+a4467d2a3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-content-registries-v0/0.1.9+059ea8663a/fabric-content-registries-v0-0.1.9+059ea8663a.jar
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-textures-v0/1.0.5+a4467d2a3a/fabric-textures-v0-1.0.5+a4467d2a3a.jar as ModCandidate{fabric-textures-v0@1.0.5+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-v1/1.3.1+f8ac1db23a/fabric-rendering-v1-1.3.1+f8ac1db23a.jar as ModCandidate{fabric-rendering-v1@1.3.1+f8ac1db23a}
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-crash-report-info-v1/0.1.2+b7f9825d3a/fabric-crash-report-info-v1-0.1.2+b7f9825d3a.jar
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-textures-v0@1.0.5+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-textures-v0/1.0.5+a4467d2a3a/fabric-textures-v0-1.0.5+a4467d2a3a.jar
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-rendering-v1@1.3.1+f8ac1db23a}
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-v1/1.3.1+f8ac1db23a/fabric-rendering-v1-1.3.1+f8ac1db23a.jar
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-models-v0/0.1.1+f8ac1db23a/fabric-models-v0-0.1.1+f8ac1db23a.jar as ModCandidate{fabric-models-v0@0.1.1+f8ac1db23a}
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-command-api-v1/1.0.9+a4467d2a3a/fabric-command-api-v1-1.0.9+a4467d2a3a.jar
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-models-v0@0.1.1+f8ac1db23a}
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-models-v0/0.1.1+f8ac1db23a/fabric-models-v0-0.1.1+f8ac1db23a.jar
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-commands-v0/0.2.0+52d308363a/fabric-commands-v0-0.2.0+52d308363a.jar
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-registry-sync-v0/0.6.1+a4467d2a3a/fabric-registry-sync-v0-0.6.1+a4467d2a3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-loader/0.11.3/fabric-loader-0.11.3.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-registries-v1/2.2.0+f8ac1db23a/fabric-renderer-registries-v1-2.2.0+f8ac1db23a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-events-interaction-v0/0.4.1+f8ac1db23a/fabric-events-interaction-v0-0.4.1+f8ac1db23a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-screen-handler-api-v1/1.1.0+872498413a/fabric-screen-handler-api-v1-1.1.0+872498413a.jar
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-command-api-v1/1.0.9+a4467d2a3a/fabric-command-api-v1-1.0.9+a4467d2a3a.jar as ModCandidate{fabric-command-api-v1@1.0.9+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-command-api-v1@1.0.9+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-command-api-v1/1.0.9+a4467d2a3a/fabric-command-api-v1-1.0.9+a4467d2a3a.jar
[09:06:08] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-game-rule-api-v1/1.0.3+a4467d2a3a/fabric-game-rule-api-v1-1.0.3+a4467d2a3a.jar
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-commands-v0/0.2.0+52d308363a/fabric-commands-v0-0.2.0+52d308363a.jar as ModCandidate{fabric-commands-v0@0.2.0+52d308363a}
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-commands-v0@0.2.0+52d308363a}
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-commands-v0/0.2.0+52d308363a/fabric-commands-v0-0.2.0+52d308363a.jar
[09:06:08] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-networking-blockentity-v0/0.2.5+b50ffc7b3a/fabric-networking-blockentity-v0-0.2.5+b50ffc7b3a.jar
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Adding file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-registry-sync-v0/0.6.1+a4467d2a3a/fabric-registry-sync-v0-0.6.1+a4467d2a3a.jar as ModCandidate{fabric-registry-sync-v0@0.6.1+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Searching for nested JARs in ModCandidate{fabric-registry-sync-v0@0.6.1+a4467d2a3a}
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-registry-sync-v0/0.6.1+a4467d2a3a/fabric-registry-sync-v0-0.6.1+a4467d2a3a.jar
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-blockrenderlayer-v1/1.1.4+c6a8ea893a/fabric-blockrenderlayer-v1-1.1.4+c6a8ea893a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-loot-tables-v1/1.0.1+432ea1883a/fabric-loot-tables-v1-1.0.1+432ea1883a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-api-base/0.2.0+9f0fb4b83a/fabric-api-base-0.2.0+9f0fb4b83a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-object-builders-v0/0.7.1+a4467d2a3a/fabric-object-builders-v0-0.7.1+a4467d2a3a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-api/0.25.1+build.416-1.16/fabric-api-0.25.1+build.416-1.16.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-particles-v1/0.2.2+fb0d9b0e3a/fabric-particles-v1-0.2.2+fb0d9b0e3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-fluids-v1/0.1.12+f8ac1db23a/fabric-rendering-fluids-v1-0.1.12+f8ac1db23a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-data-attachment-v1/0.1.4+f8ac1db23a/fabric-rendering-data-attachment-v1-0.1.4+f8ac1db23a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-renderer-indigo/0.4.3+a4467d2a3a/fabric-renderer-indigo-0.4.3+a4467d2a3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-object-builder-api-v1/1.9.2+a89534ab3a/fabric-object-builder-api-v1-1.9.2+a89534ab3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-events-lifecycle-v0/0.2.0+16acbe5b3a/fabric-events-lifecycle-v0-0.2.0+16acbe5b3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-biome-api-v1/3.0.0+8367596d3a/fabric-biome-api-v1-3.0.0+8367596d3a.jar
[09:06:09] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-item-api-v1/1.2.0+f8ac1db23a/fabric-item-api-v1-1.2.0+f8ac1db23a.jar
